TxPackets;TxTime;TxId;xPos;yPos
17879;1919;3;17;55
17898;1919;14;8;71
17917;1920;1;71;52
17936;1920;17;17;41
17955;1921;7;42;76
17974;1922;8;86;96
17993;1922;12;40;47
18012;1922;15;3;8
18031;1926;0;65;54
18050;1929;13;87;90
18069;1931;6;78;15
18088;1932;4;59;25
18107;1933;-1;66;72
18126;1935;9;4;40
18145;1935;10;42;16
18164;1936;2;5;26
18183;1936;16;32;89
18202;1937;5;31;25
18221;1937;18;63;53
18240;1938;11;99;17
18259;1939;3;17;55
18278;1939;14;8;71
18297;1940;1;71;52
18316;1940;17;17;41
18335;1941;7;42;76
18354;1942;8;86;96
18373;1942;12;40;47
18392;1942;15;3;8
18411;1946;0;65;54
18430;1949;13;87;90
18449;1951;6;78;15
18468;1952;4;59;25
18487;1953;-1;66;72
18506;1955;9;4;40
18525;1955;10;42;16
18544;1956;2;5;26
18563;1956;16;32;89
18582;1957;5;31;25
18601;1957;18;63;53
18620;1958;11;99;17
18639;1959;3;17;55
18658;1959;14;8;71
18677;1960;1;71;52
18696;1960;17;17;41
18715;1961;7;42;76
18734;1962;8;86;96
18753;1962;12;40;47
18772;1962;15;3;8
18791;1966;0;65;54
18810;1969;13;87;90
18829;1971;6;78;15
18848;1972;4;59;25
18867;1973;-1;66;72
18886;1975;9;4;40
18905;1975;10;42;16
18924;1976;2;5;26
18943;1976;16;32;89
18962;1977;5;31;25
18981;1977;18;63;53
19000;1978;11;99;17
19019;1979;3;17;55
19038;1979;14;8;71
19057;1980;1;71;52
19076;1980;17;17;41
19095;1981;7;42;76
19114;1982;8;86;96
19133;1982;12;40;47
19152;1982;15;3;8
19171;1986;0;65;54
19190;1986;3;17;55
19209;1989;13;87;90
19228;1991;6;78;15
19247;1992;4;59;25
19266;1993;-1;66;72
19285;1995;9;4;40
19304;1995;10;42;16
19323;1996;2;5;26
19342;1996;16;32;89
19361;1997;5;31;25
19380;1997;18;63;53
19399;1998;11;99;17
19418;1999;14;8;71
19437;2000;1;71;52
19456;2000;17;17;41
19475;2001;7;42;76
19494;2002;8;86;96
19513;2002;12;40;47
19532;2002;15;3;8
19551;2006;0;65;54
19570;2006;3;17;55
19589;2009;13;87;90
19608;2011;6;78;15
19627;2012;4;59;25
19646;2013;-1;66;72
19665;2015;9;4;40
19684;2015;10;42;16
19703;2016;2;5;26
19722;2016;16;32;89
19741;2017;5;31;25
19760;2017;18;63;53
19779;2018;11;99;17
19798;2019;14;8;71
19817;2020;1;71;52
19836;2020;17;17;41
19855;2021;7;42;76
19874;2022;8;86;96
19893;2022;12;40;47
19912;2022;15;3;8
19931;2026;0;65;54
19950;2026;3;17;55
19969;2029;13;87;90
19988;2031;6;78;15
20007;2032;4;59;25
20026;2033;-1;66;72
20045;2035;9;4;40
